Name,Age,Gender,Occupation,Income,Expenses,CreditScore,RiskProfile
Mrs. Cindy Green,40,Female,Unemployed,95429.41,72702.42,Good,Medium
Rebecca Mclean,35,Female,Self-Employed,44803.54,25665.74,Poor,High
Suzanne Lawrence,40,Male,Salaried,62185.88,29679.22,Good,Low
Bradley Cox,24,Male,Unemployed,12458.96,9917.16,Average,High
Angel Nunez,29,Male,Unemployed,39464.81,21918.48,Average,Medium
Ryan Ortega,30,Female,Salaried,75960.26,47230.68,Excellent,Medium
Dr. Joseph Gray DVM,19,Female,Unemployed,53267.38,36350.36,Poor,High
Susan Mcfarland,18,Female,Salaried,56763.23,18261.37,Excellent,Low
Erin Acevedo,20,Female,Student,55135.92,45511.45,Good,High
Steven Wall,32,Female,Student,15020.15,4838.24,Poor,High
Daniel Greer,29,Male,Salaried,99056.28,82952.28,Good,High
Kenneth White,20,Male,Self-Employed,23156.88,8305.8,Poor,High
Kyle Sanchez,20,Female,Unemployed,91601.1,28340.36,Average,Medium
Gary Webb,20,Female,Self-Employed,54046.53,32727.23,Poor,High
Belinda Walter,40,Female,Unemployed,97114.45,79926.17,Average,High
Dr. Margaret Wilcox MD,40,Male,Student,97892.68,72444.92,Poor,High
Tonya French,33,Male,Salaried,46059.55,17368.25,Average,Medium
Cheryl Hawkins,26,Female,Salaried,36191.82,24044.26,Excellent,Medium
Rhonda Lynch,28,Male,Salaried,35793.91,15957.3,Poor,High
Diana Cooper,18,Female,Student,85117.4,56255.82,Excellent,Medium
Jillian Gross,38,Female,Student,76027.91,47653.35,Average,Medium
Cynthia Cooper,20,Male,Self-Employed,89565.51,41349.01,Average,Medium
Alan Harris,30,Male,Salaried,65651.52,23032.59,Good,Low
Jasmine Martinez,37,Female,Unemployed,27392.15,22103.12,Poor,High
Lisa Mcdaniel,38,Female,Salaried,86244.33,38231.34,Poor,High
Ashley Roth,40,Male,Self-Employed,10946.26,6829.01,Poor,High
Christopher Brown,19,Male,Unemployed,86344.01,47273.61,Poor,High
James Hernandez,27,Female,Unemployed,34021.19,13550.88,Excellent,Low
Bryan Pollard,22,Female,Self-Employed,56334.14,45986.53,Poor,High
Meagan Abbott,38,Female,Self-Employed,87297.29,67521.28,Poor,High
Nicholas Johnson,35,Male,Unemployed,85279.29,66157.8,Excellent,Medium
Craig Wright,29,Female,Self-Employed,81223.67,57935.15,Average,Medium
Amy Matthews,32,Male,Student,10603.93,5751.14,Poor,High
Cynthia Rangel,40,Female,Student,22582.37,16914.61,Average,Medium
Patricia Griffith,38,Female,Student,86775.65,26317.47,Good,Low
Phillip Johnson,23,Male,Salaried,16908.23,12174.45,Excellent,High
Kathleen Richards,40,Female,Salaried,50174.79,29227.45,Excellent,Low
Joshua Lane,25,Female,Self-Employed,51874.49,40851.29,Good,Medium
Jenna Gardner DVM,40,Male,Unemployed,97777.65,40673.9,Excellent,Low
Brenda Rocha,20,Female,Student,33900.53,12094.69,Good,Low
George Duke,23,Female,Salaried,10666.43,6911.72,Average,High
Deborah Young,37,Male,Salaried,35457.77,26224.32,Good,Medium
Nicole Thomas,30,Female,Student,24285.71,13508.56,Good,Low
Deanna Duran,40,Male,Self-Employed,23422.74,7872.53,Excellent,Low
Christine Brooks,31,Male,Self-Employed,31116.89,14898.0,Poor,High
Beth Pollard,38,Female,Unemployed,69423.25,53154.99,Average,Medium
Rachel Wright,30,Female,Self-Employed,60753.47,19477.04,Poor,High
Sara Pacheco,32,Female,Unemployed,81773.98,26403.19,Average,Medium
Mrs. Anne Burton MD,37,Male,Salaried,83417.17,35710.8,Average,Medium
Amanda Henderson,20,Female,Self-Employed,59913.08,28429.7,Poor,High
Sharon Miller,33,Female,Unemployed,94984.99,66295.09,Excellent,Medium
Brianna Smith,19,Female,Self-Employed,12532.16,4157.86,Poor,High
Melissa Smith,33,Male,Self-Employed,25228.14,22293.71,Excellent,High
Nicholas Benson,26,Female,Unemployed,68902.09,57912.78,Excellent,High
Daniel Campos,18,Male,Student,59710.65,44464.75,Average,Medium
Gregory May MD,19,Female,Student,34694.53,13323.27,Average,Medium
Jacqueline Wilson,19,Male,Unemployed,39216.04,16358.98,Good,Low
Diana Gay,31,Female,Self-Employed,86400.99,41998.34,Excellent,Low
Jeffrey Bryan,35,Male,Unemployed,40068.27,20625.95,Excellent,Low
Rita Lopez,30,Male,Student,77346.78,41693.83,Excellent,Low
Tammy Schultz,34,Female,Unemployed,61092.37,52409.92,Good,High
Karen Briggs,20,Female,Student,63089.82,28426.7,Average,Medium
Patricia Collins,39,Male,Student,13823.06,11767.42,Excellent,High
David Scott,24,Male,Student,31019.5,19474.92,Poor,High
Molly Ramirez,36,Male,Unemployed,75650.63,65146.85,Excellent,High
Jill Kelly,33,Male,Salaried,37210.86,22271.57,Good,Low
Danielle Davis,18,Male,Self-Employed,42061.77,28034.48,Excellent,Medium
Matthew Dudley,29,Female,Salaried,69183.46,45949.49,Good,Medium
Justin Walters,33,Female,Self-Employed,91626.09,53635.83,Average,Medium
Carl Sharp,30,Female,Unemployed,33476.36,22669.44,Average,Medium
Wendy Carter,37,Male,Unemployed,51704.99,38961.57,Average,Medium
Whitney Morales,31,Female,Salaried,87447.99,49848.61,Average,Medium
Jerry Robinson,23,Male,Student,80804.57,52102.38,Average,Medium
Margaret Stephens,38,Male,Self-Employed,34133.38,11724.46,Poor,High
Johnathan Stevens,25,Female,Student,68371.01,43066.27,Good,Medium
Karla Khan,24,Male,Self-Employed,84840.47,34391.81,Poor,High
Jamie Knight,34,Male,Salaried,21257.54,17996.64,Average,High
Tyler Byrd,35,Male,Student,16202.23,10022.86,Average,High
Joseph Brooks,33,Male,Salaried,19697.26,14215.42,Poor,High
Martha Mann,35,Female,Self-Employed,36523.96,26100.07,Good,Medium
Christopher Morse,30,Female,Unemployed,61228.16,44295.03,Average,Medium
Lori Ruiz,37,Female,Salaried,39764.13,29987.51,Good,Medium
James Hooper,27,Male,Unemployed,40334.67,20583.02,Good,Low
Shelly Griffin,33,Female,Salaried,99523.74,35723.34,Poor,High
Kenneth Wilson,18,Male,Salaried,71522.23,42162.89,Excellent,Low
Margaret Dillon,40,Female,Self-Employed,97076.55,53403.79,Poor,High
Mary Campbell,38,Female,Self-Employed,95193.18,64242.53,Average,Medium
Michael Stewart,28,Male,Salaried,92939.79,36823.29,Average,Medium
Lindsey Robinson,26,Male,Self-Employed,95204.92,64001.29,Excellent,Medium
Joseph Terry,26,Female,Salaried,19646.84,14318.49,Poor,High
Brian Thomas,21,Female,Self-Employed,54954.49,31539.71,Excellent,Low
Harold Davies,36,Female,Salaried,43919.74,25130.73,Poor,High
Kimberly Diaz,36,Male,Self-Employed,53392.97,44658.11,Good,High
Justin White,22,Female,Self-Employed,45539.87,23492.96,Excellent,Low
Kelly Black,38,Male,Unemployed,12690.89,7819.16,Poor,High
Darryl Morris,28,Female,Unemployed,96415.3,85956.44,Average,High
Amanda Hall,18,Female,Student,13446.58,6887.24,Poor,High
Claire Young,35,Female,Student,76713.13,66599.38,Average,High
Erin Bailey,36,Male,Student,29118.04,23524.14,Good,High
Justin Lewis,21,Male,Salaried,20080.88,17789.05,Average,High
Katie Levine,37,Male,Salaried,46449.43,34344.82,Poor,High
Lisa Jordan,35,Female,Self-Employed,40962.59,16064.04,Good,Low
Miranda Weaver,28,Female,Salaried,94574.46,71768.98,Excellent,Medium
Michael Best,24,Male,Unemployed,26119.61,8870.73,Excellent,Low
Brittany Freeman,32,Male,Self-Employed,47832.92,17861.52,Good,Low
John Brown,38,Male,Student,52920.39,34087.69,Excellent,Medium
Frank Harrison,28,Female,Salaried,38982.15,28491.02,Good,Medium
Angela Mitchell,29,Female,Student,75282.46,52046.91,Good,Medium
Robert Morales,35,Female,Salaried,69423.69,59971.87,Average,High
Jared Hood,35,Female,Unemployed,53157.22,45907.27,Poor,High
Jennifer Santiago,30,Female,Salaried,53532.78,40138.72,Good,Medium
Brian Wheeler,22,Male,Self-Employed,85210.47,53411.72,Excellent,Medium
Roger Rivas,24,Male,Unemployed,77521.69,25495.96,Excellent,Low
Karen Molina,37,Female,Unemployed,42893.35,13610.77,Poor,High
Melissa Juarez,27,Male,Unemployed,31720.4,22288.19,Good,Medium
Caroline Dean,19,Female,Salaried,82891.2,67860.49,Excellent,High
Kathleen Ferguson,24,Male,Self-Employed,24183.02,16236.42,Average,Medium
Evelyn Maldonado,32,Female,Student,43920.11,31878.38,Excellent,Medium
Timothy Jimenez,34,Female,Unemployed,80521.37,70763.72,Average,High
Misty Benson,31,Male,Student,60451.5,25878.18,Average,Medium
Courtney Allen,28,Female,Unemployed,60428.93,42513.73,Average,Medium
